Source,Organism,Molecule,sample_number,sample_type,sample_day,sample_group,sample_batch
Purified neutrophils,Homo sapiens,total RNA,2,Patient,D4,1,1
Purified neutrophils,Homo sapiens,total RNA,3,Patient,D7,2,1
Purified neutrophils,Homo sapiens,total RNA,5,Patient,D4,1,1
Purified neutrophils,Homo sapiens,total RNA,6,Patient,D8,2,1
Purified neutrophils,Homo sapiens,total RNA,9,Patient,D3,1,1
Purified neutrophils,Homo sapiens,total RNA,11,Patient,D3,1,1
Purified neutrophils,Homo sapiens,total RNA,12,Patient,D7,2,1
Purified neutrophils,Homo sapiens,total RNA,13,Patient,D3,1,1
Purified neutrophils,Homo sapiens,total RNA,14,Patient,D4,1,1
Purified neutrophils,Homo sapiens,total RNA,15,Patient,D7,2,1
Purified neutrophils,Homo sapiens,total RNA,16,Patient,D4,1,1
Purified neutrophils,Homo sapiens,total RNA,17,Patient,D7,2,2
Purified neutrophils,Homo sapiens,total RNA,18,Patient,D4,1,2
Purified neutrophils,Homo sapiens,total RNA,19,Patient,D6,2,2
Purified neutrophils,Homo sapiens,total RNA,20,Patient,D3,1,2
Purified neutrophils,Homo sapiens,total RNA,21,healthy control,NA,3,2
Purified neutrophils,Homo sapiens,total RNA,22,healthy control,NA,3,2
Purified neutrophils,Homo sapiens,total RNA,23,healthy control,NA,3,2
Purified neutrophils,Homo sapiens,total RNA,24,healthy control,NA,3,2
Purified neutrophils,Homo sapiens,total RNA,25,healthy control,NA,3,2
Purified neutrophils,Homo sapiens,total RNA,26,healthy control,NA,3,2
Purified neutrophils,Homo sapiens,total RNA,27,healthy control,NA,3,2
Purified neutrophils,Homo sapiens,total RNA,28,healthy control,NA,3,2
